battlevoice_chr000_100,"Hyde: C'mon out, Insulator!"
battlevoice_chr012_121,"Nanase: Oh, I gotta report this, ASAP! Um, hello? Yeah, it's me..."
battlevoice_chr012_122,Nanase: Now's my chance!
battlevoice_chr012_123,"Nanase: Here I am, in the Hollow Night! Aaand... send!"
battlevoice_chr012_126,"Nanase: Oh, I gotta take notes on that last attack!"
battlevoice_chr012_129,Nanase: Hashtag winning! Aaand... send!
battlevoice_chr012_134,"Nanase: I did it! Now prepare yourself, Hyde Kido!"
battlevoice_chr012_136,"Nanase: All right, I took down a senpai! This whole act is getting kinda old, though..."
battlevoice_chr013_080,"Tsukuyomi: I leave the rest to you, Byakuya."
battlevoice_chr013_081,Tsukuyomi: We can't get rid of this guy...
battlevoice_chr013_082,Tsukuyomi: We can't get rid of this girl...
battlevoice_chr013_083,Tsukuyomi: My little brother Byakuya has come to devour you.
battlevoice_chr013_101,"Byakuya: You can count on me, Sis."
battlevoice_chr013_104,Byakuya: Ah. Good evening.
battlevoice_chr013_105,"Byakuya: Sorry to rush this along, but you need to disappear."
battlevoice_chr013_106,Byakuya: You really are pushy.
battlevoice_chr013_107,"Byakuya: Well, well. We meet again."
battlevoice_chr013_109,Byakuya: Would you stop picking fights under my name?
battlevoice_chr013_118,Byakuya: I'll wipe that smile off your face.
battlevoice_chr013_120,Byakuya: Stop copying me.
battlevoice_chr013_129,"Byakuya: Hey, are you still alive?"
battlevoice_chr013_130,"Byakuya: You're not actually finished yet, are you?"
battlevoice_chr013_131,Byakuya: How weak.
battlevoice_chr013_132,Byakuya: Get it now? Your resistance was pointless.
battlevoice_chr013_135,Byakuya: You really are all talk.
battlevoice_chr013_136,Byakuya: Huh? Finished already?
battlevoice_chr013_137,Byakuya: You're not even worth eating.
battlevoice_chr013_138,Byakuya: Huh? You really are weak.
battlevoice_chr013_140,Byakuya: Aha ha ha! What a weakling.
battlevoice_chr013_141,Byakuya: Aha ha ha ha!
battlevoice_chr013_146,"Byakuya: You gave it your best shot, I guess. But it's over now."
battlevoice_chr013_149,Byakuya: What? That's all?
battlevoice_chr014_100,Akatsuki: I could survive even death itself!
battlevoice_chr014_101,Akatsuki: Send me all your slings and arrows!
battlevoice_chr014_102,Akatsuki: Is there no end to my misfortune?
battlevoice_chr014_106,Akatsuki: You're as strange as ever.
battlevoice_chr014_114,Akatsuki: Sei!
battlevoice_chr014_115,Akatsuki: How pitiful. Stand up!
battlevoice_chr014_116,Akatsuki: Finished already?!
battlevoice_chr014_119,Akatsuki: I am the god of thunder! I am invincible!
battlevoice_chr014_120,"Akatsuki: Even if my body dies, I'll fiercely defend the nation in spirit!"
battlevoice_chr014_123,Akatsuki: You put up an impressively ferocious fight...
battlevoice_chr014_126,Akatsuki: You lack training!
battlevoice_chr014_130,"Akatsuki: Farewell, my so-called junior. Keep your quarrels in moderation."
battlevoice_chr014_131,"Akatsuki: Ours is a strange bond... We may meet again, if we both survive."
battlevoice_chr015_100,Chaos: It looks like I'm on cleanup duty.
battlevoice_chr015_101,Chaos: I usually stick to more cerebral tasks...
battlevoice_chr015_102,Chaos: How long do you plan to flail about?
battlevoice_chr015_103,Chaos: Do go easy on me.
battlevoice_chr015_104,"Chaos: Just don't break my glasses, okay?"
battlevoice_chr015_108,Chaos: You were on my mind. What other reason is there?
battlevoice_chr015_110,Chaos: Hilda... You again...?
battlevoice_chr015_111,"Chaos: Well, at least I was prepared to run into you."
battlevoice_chr015_113,Chaos: Last chance. Want to join forces with us again?
battlevoice_chr015_115,"Chaos: If I win... you know what happens, right?"
battlevoice_chr015_117,"Chaos: The feeling's mutual. I don't mind you, either."
battlevoice_chr015_125,Chaos: You're more capable than I expected.
battlevoice_chr015_126,"Chaos: A sensible, intelligent victory."
battlevoice_chr015_127,"Chaos: ...You held back, didn't you, Gordeau?"
battlevoice_chr015_128,"Chaos: You never change, either."
battlevoice_chr015_130,Chaos: Sorry. Azhi Dahaka's manners need some work.
battlevoice_chr015_131,Chaos: I'd say that was a good bout.
battlevoice_chr015_132,Chaos: I'd hoped for a smarter victory.
battlevoice_chr015_133,Chaos: I sense no intelligence in your fighting style.
battlevoice_chr015_134,"Chaos: Fighting you is fun and all, but alas, one only lives once."
battlevoice_chr015_135,Chaos: Th-that was ridiculous... Are you trying to kill me?
battlevoice_chr015_136,Chaos: Nearly losing one's life in a test of skill is taking things too far...
battlevoice_chr015_137,"Chaos: Yes, you really are fascinating. Just as I thought."
battlevoice_chr016_100,"Wagner: Curse your misfortune, that you ran into me."
battlevoice_chr016_101,Wagner: I'll finish you in mere moments.
battlevoice_chr016_102,Wagner: Will you put my flame to the test?
battlevoice_chr016_103,Wagner: I'll show you how EXS should be used.
battlevoice_chr016_104,Wagner: So here we are. Your luck must be as bad as mine.
battlevoice_chr016_109,"Wagner: Time to settle our old score. Let's go, honor student."
battlevoice_chr016_112,Wagner: It seems we've got our chance without a need for schemes. Shall we?
battlevoice_chr016_115,Wagner: Very well. Give me everything you've got.
battlevoice_chr016_117,Wagner: Bold of you to show yourself before the Void Hunter.
battlevoice_chr016_119,Wagner: Heh. It looks like you just can't forget me.
battlevoice_chr016_123,"Wagner: I ask for a bout, samurai."
battlevoice_chr016_126,"Wagner: Cut the tedious talk. If you're going to fight, fight."
battlevoice_chr016_135,Wagner: Stand up. I'll burn you to ash next.
battlevoice_chr016_136,Wagner: Is that all you can seriously muster?
battlevoice_chr016_137,Wagner: Face me as many times as you like. The result will be the same.
battlevoice_chr016_143,"Wagner: What's wrong, honor student? Finished already?"
battlevoice_chr016_145,Wagner: Satisfied yet? I'll send you after your friends right away.
battlevoice_chr016_148,Wagner: Does that make the difference in our capabilities clear enough for you?
battlevoice_chr016_149,Wagner: Yet another one who fails to deliver.
battlevoice_chr016_150,Wagner: All this disciplining is starting to get tedious.
battlevoice_chr016_151,Wagner: You're too weak. Just like everyone else around here.
battlevoice_chr016_154,Wagner: Any who stand against me will burn. That's all.
battlevoice_chr016_157,Wagner: Is that all you've got? How dull.
battlevoice_chr016_162,"Wagner: Hmph. This result is only natural, Orie Ballardiae."
battlevoice_chr016_164,"Wagner: Sorry, but I can't give my life up to you."
battlevoice_chr017_100,Enkidu: I'll test your strength.
battlevoice_chr017_101,Enkidu: ...Here I come.
battlevoice_chr017_102,Enkidu: ...A strong wind blows.
battlevoice_chr017_103,Enkidu: Now. Let us have a match.
battlevoice_chr017_104,Enkidu: Have you readied yourself?
battlevoice_chr017_105,Enkidu: I've been waiting anxiously for this!
battlevoice_chr017_106,Enkidu: The time has come.
battlevoice_chr017_110,"Enkidu: I challenge you, insatiable one!"
battlevoice_chr017_112,"Enkidu: Yes. I'm looking at them right now, in fact."
battlevoice_chr017_114,"Enkidu: I challenge you, dazzling darkness!"
battlevoice_chr017_116,Enkidu: It was all worth it for this moment.
battlevoice_chr017_119,"Enkidu: I challenge you, child of chaos!"
battlevoice_chr017_121,Enkidu: You should be able to show me the answer I seek.
battlevoice_chr017_123,Enkidu: None would find fault with you for losing to me as I am now.
battlevoice_chr017_140,Enkidu: Still too green.
battlevoice_chr017_141,Enkidu: This must be a joke.
battlevoice_chr017_142,Enkidu: Is that all?
battlevoice_chr017_143,Enkidu: Take this more seriously.
battlevoice_chr017_150,Enkidu: Interesting. As a battle should be.
battlevoice_chr017_151,Enkidu: You and I are both woefully inadequate.
battlevoice_chr017_152,Enkidu: I won't forget this bout.
battlevoice_chr017_154,Enkidu: This bout found only a razor's edge between us.
battlevoice_chr017_156,Enkidu: You're still too green. Try again later.
battlevoice_chr017_160,"Enkidu: I appreciate your help, but I can't hold back in a match."
battlevoice_chr018_100,Londrekia: This is another part of my duties.
battlevoice_chr018_102,Londrekia: In-Births must be kept under control.
battlevoice_chr018_103,Londrekia: A formidable looking opponent... but I'll prevail.
battlevoice_chr018_104,"Londrekia: By the name of Ritter Schild, I will not lose!"
battlevoice_chr018_105,Londrekia: There's nothing in all creation that cannot be frozen.
battlevoice_chr018_106,"Londrekia: A fair and honest match, with honor on the line for both of us."
battlevoice_chr018_107,"Londrekia: Regardless of your abilities, you will be frozen."
battlevoice_chr018_110,Londrekia: It's an honor to meet you.
battlevoice_chr018_111,Londrekia: I request a duel!
battlevoice_chr018_113,Londrekia: It seems our fates are deeply linked.
battlevoice_chr018_114,Londrekia: To think I'd encounter you again!
battlevoice_chr018_116,"Londrekia: I suppose this is the end of our relationship, then."
battlevoice_chr018_118,Londrekia: The... The Tenth Executor?!
battlevoice_chr018_121,Londrekia: I'll show you that even blazing flames can freeze!
battlevoice_chr018_122,"Londrekia: Face me, Void Hunter!"
battlevoice_chr018_123,Londrekia: I shall defeat you and prove the superiority of Ritter Schild!
battlevoice_chr018_140,Londrekia: Surely that's not all you've got.
battlevoice_chr018_141,Londrekia: Please don't get back up.
battlevoice_chr018_142,Londrekia: Do you still refuse to stand down?
battlevoice_chr018_143,Londrekia: You don't know when to give up.
battlevoice_chr018_144,Londrekia: Let's build this up little by little.
battlevoice_chr018_151,Londrekia: Thank you. That was a valuable experience.
battlevoice_chr018_152,"Londrekia: Quite the good match, if I may say so."
battlevoice_chr018_153,Londrekia: Mission complete.
battlevoice_chr018_154,"Londrekia: I would've liked to solve this peacefully, you know."
battlevoice_chr018_156,Londrekia: Still not enough training.
battlevoice_chr018_158,Londrekia: I hope you've learned at last to stay out of the Night.
battlevoice_chr018_161,"Londrekia: Well? Ritter Schild is also quite capable, wouldn't you say?"
battlevoice_chr018_163,"Londrekia: A regrettable ending, but perhaps there's no choice..."
battlevoice_chr018_165,Londrekia: Should I contact Licht Kreis about this child?
battlevoice_chr018_167,"Londrekia: You understand now, don't you?"
battlevoice_chr018_168,Londrekia: You aren't the only ace in this hole.
battlevoice_chr019_100,Tsurugi: All right! Here goes!
battlevoice_chr019_101,Tsurugi: C'mon! Let's fight!
battlevoice_chr019_102,"Tsurugi: Awright, let's hook this rookie up with some hard training!"
battlevoice_chr019_103,"Tsurugi: Blockin' my way, huh? Guess I've got no choice but to knock you out!"
battlevoice_chr019_107,Tsurugi: This is a perfect chance! Strut your stuff for me.
battlevoice_chr019_110,Tsurugi: I guess we're bound by the red string of fate!
battlevoice_chr019_113,Tsurugi: Speed and range... Can I even get close?
battlevoice_chr019_124,Tsurugi: All right! That's a win!
battlevoice_chr019_125,Tsurugi: Heh heh! I'm not gonna lose a fist fight!
battlevoice_chr019_126,Tsurugi: Hold up! You're getting way too careless!
battlevoice_chr019_129,Tsurugi: Awright! Score one for justice!
battlevoice_chr019_130,Tsurugi: Y'know what they say: there's no defense like a good offense!
battlevoice_chr019_131,Tsurugi: How 'bout that? Did my fists get the message across?
battlevoice_chr019_132,Tsurugi: Thanks. That was a good match.
battlevoice_chr019_135,Tsurugi: Nice fight! Let's do this again sometime!
battlevoice_chr019_138,Tsurugi: Sometimes a match just comes down to luck. These things happen.
battlevoice_chr019_142,"Tsurugi: That was a heated fight! I won't lose the next one, either!"
battlevoice_chr020_100,"Uzuki: Stay outta my way, or I'll erase you!"
battlevoice_chr020_101,Uzuki: Your EXS looks sooo yummy!
battlevoice_chr020_102,Uzuki: How 'bout I give you an up close and personal tour of Hell?
battlevoice_chr020_103,Uzuki: Don't think you can oppose me and get away unscathed!
battlevoice_chr020_108,"Uzuki: Uh, rude much? We're only friends!"
battlevoice_chr020_111,Uzuki: Hee hee hee! Lemme free your soul from that vessel for you!
battlevoice_chr020_114,Uzuki: Then I hope you're ready to scream your head off!
battlevoice_chr020_117,Uzuki: Don'tcha see? We were fated to end up this way.
battlevoice_chr020_120,Uzuki: Pfft! As if anybody'd find fault with me anyway!
battlevoice_chr020_123,"Uzuki: Secrets... Conspiracies... I don't mind 'em, y'know."
battlevoice_chr020_135,Uzuki: Get up. Playing dead won't work on me.
battlevoice_chr020_136,Uzuki: Ha! How pathetic!
battlevoice_chr020_137,Uzuki: You're done already? Boooring.
battlevoice_chr020_140,Uzuki: Kee hee hee hee hee! I'll be taking that EXS!
battlevoice_chr020_141,Uzuki: Hyaa ha ha! Written your death poem yet?
battlevoice_chr020_142,Uzuki: Lessee here... How to cook you...
battlevoice_chr020_143,Uzuki: You really don't live up to all the talk.
battlevoice_chr020_146,Uzuki: Eee hee hee hee! You sure made me work for this.
battlevoice_chr020_149,Uzuki: How'd you survive this long with skills that sorry?
battlevoice_chr020_154,"Uzuki: Aw, what's the matter? Had enough, Paradox?"
battlevoice_chr021_100,Mika: Heyyya!
battlevoice_chr021_101,Mika: Ta-dah! Mika's here!
battlevoice_chr021_102,Mika: I'll be your opponent!
battlevoice_chr021_103,"Mika: It's me, Mika! Let's do this!"
battlevoice_chr021_104,"Mika: Just lemme squeeze by, 'kay?"
battlevoice_chr021_106,Mika: Whoopsie! Get ready!
battlevoice_chr021_109,Mika: Bwah! Here comes a challenge!
battlevoice_chr021_112,Mika: Ouch! Time for your just deserts!
battlevoice_chr021_120,Mika: Heh! I'm not letting you come outta this looking cool!
